"","bin","prop","lwr","upr","cases","midpoint","spl","method","mod","weights"
"158","(0.148,0.156]",0.2,0.0252107263268334,0.556095462307641,2,0.152285129033045,"4","linear","cimrsbinary","equal"
"159","(0.156,0.169]",0.4,0.121552258119827,0.737621923393055,4,0.162612846693396,"4","linear","cimrsbinary","equal"
"160","(0.169,1]",0.4,0.121552258119827,0.737621923393055,4,0.584424663888935,"4","linear","cimrsbinary","equal"
"161","[0,0.0222]",0,0,0.284914152918154,0,0.0110932843378126,"5","linear","cimrsbinary","equal"
"162","(0.0222,0.0469]",0,0,0.308497107818761,0,0.0345405712321193,"5","linear","cimrsbinary","equal"
"163","(0.0469,0.128]",0.1,0.00252857854446179,0.445016117028195,1,0.087576008349291,"5","linear","cimrsbinary","equal"
"164","(0.128,1]",0.2,0.0252107263268334,0.556095462307641,2,0.564128721454984,"5","linear","cimrsbinary","equal"
"165","[0,0.0404]",0,0,0.284914152918154,0,0.020201250882858,"6","linear","cimrsbinary","equal"
"166","(0.0404,0.11]",0.1,0.00252857854446179,0.445016117028195,1,0.0752458517151429,"6","linear","cimrsbinary","equal"
"167","(0.11,0.225]",0.2,0.0252107263268334,0.556095462307641,2,0.167580191618937,"6","linear","cimrsbinary","equal"
"168","(0.225,1]",0.3,0.0667395111777345,0.652452850059997,3,0.612535590786652,"6","linear","cimrsbinary","equal"
"169","[0,0.0127]",0,0,0.284914152918154,0,0.00637145648736265,"1","log-linear","cimrsbinary","equal"
"170","(0.0127,0.0445]",0.1,0.00252857854446179,0.445016117028195,1,0.0286359165306317,"1","log-linear","cimrsbinary","equal"
"171","(0.0445,0.14]",0.1,0.00252857854446179,0.445016117028195,1,0.0921648276440914,"1","log-linear","cimrsbinary","equal"
"172","(0.14,1]",0.2,0.0252107263268334,0.556095462307641,2,0.569900367600822,"1","log-linear","cimrsbinary","equal"
"173","[0,0.0928]",0,0,0.284914152918154,0,0.0464210230887889,"2","log-linear","cimrsbinary","equal"
"174","(0.0928,0.14]",0,0,0.308497107818761,0,0.116227324428548,"2","log-linear","cimrsbinary","equal"
"175","(0.14,0.253]",0.2,0.0252107263268334,0.556095462307641,2,0.196461110429366,"2","log-linear","cimrsbinary","equal"
"176","(0.253,1]",0.3,0.0667395111777345,0.652452850059997,3,0.626654809089607,"2","log-linear","cimrsbinary","equal"
"177","[0,0.0127]",0,0,0.284914152918154,0,0.00637440544777645,"3","log-linear","cimrsbinary","equal"
"178","(0.0127,0.0379]",0.2,0.0252107263268334,0.556095462307641,2,0.0253433774725816,"3","log-linear","cimrsbinary","equal"
