"","bin","prop","lwr","upr","cases","midpoint","spl","method","mod","weights"
"69","[0,0.452]",0.0303030303030303,0.00380519971665994,0.323721102825157,0.333333333333333,0.0622768516160738,"6","trafo","cilsmrsbl","equal"
"70","(0.452,0.552]",0.0666666666666667,0.011544681620366,0.388576233060539,0.666666666666667,0.150842403395558,"6","trafo","cilsmrsbl","equal"
"71","(0.552,0.699]",0.233333333333333,0.0497638543303741,0.579577834242964,2.33333333333333,0.222892690255058,"6","trafo","cilsmrsbl","equal"
"72","(0.699,1]",0.366666666666667,0.149517160356888,0.666137502308891,3.66666666666667,0.634327138475574,"6","trafo","cilsmrsbl","equal"
"73","[0,0.349]",0.424242424242424,0.266659793406869,0.624802437527558,4.66666666666667,0.041339285930077,"1","linear","cils","equal"
"74","(0.349,0.456]",0.466666666666667,0.272805220664602,0.680393506208353,4.66666666666667,0.10273250892442,"1","linear","cils","equal"
"75","(0.456,0.725]",0.483333333333333,0.275494932767135,0.70224934882746,4.83333333333333,0.17240610163424,"1","linear","cils","equal"
"76","(0.725,1]",0.65,0.363539772694392,0.84363088798683,6.5,0.611012878639897,"1","linear","cils","equal"
"77","[0,0.288]",0.0606060606060606,0.0182105739698497,0.352777674929849,0.666666666666667,0.035818734142279,"2","linear","cils","equal"
"78","(0.288,0.352]",0.133333333333333,0.0405174193732757,0.451538713010192,1.33333333333333,0.0858506686799202,"2","linear","cils","equal"
"79","(0.352,0.525]",0.0666666666666667,0.011544681620366,0.388576233060539,0.666666666666667,0.139462768308468,"2","linear","cils","equal"
"80","(0.525,1]",0.55,0.234788043461135,0.834853592064458,5.5,0.589430833770827,"2","linear","cils","equal"
"81","[0,0.376]",0.166666666666667,0.0362914058485425,0.485365348992653,1.83333333333333,0.0451886254946155,"3","linear","cils","equal"
"82","(0.376,0.519]",0.2,0.0455620666092352,0.53831144182815,2,0.117958936801221,"3","linear","cils","equal"
"83","(0.519,0.78]",0.2,0.0855287712357591,0.499624927369607,2,0.216152109899457,"3","linear","cils","equal"
"84","(0.78,1]",0.466666666666667,0.182613803991967,0.770934197492971,4.66666666666667,0.643381798592852,"3","linear","cils","equal"
"85","[0,0.372]",0.136363636363636,0.0201263841480282,0.459332478321706,1.5,0.04453023140225,"4","linear","cils","equal"
"86","(0.372,0.48]",0.15,0.0257247866800077,0.489543807434007,1.5,0.103957208696051,"4","linear","cils","equal"
"87","(0.48,0.716]",0.35,0.121330350795648,0.671046911314052,3.5,0.17713499877302,"4","linear","cils","equal"
"88","(0.716,1]",0.433333333333333,0.16149749429464,0.745739175043896,4.33333333333333,0.617708021479218,"4","linear","cils","equal"
"89","[0,0.389]",0.106060606060606,0.0282468629986675,0.40691574270556,1.16666666666667,0.0470499751926396,"5","linear","cils","equal"
"90","(0.389,0.539]",0.116666666666667,0.0313819615495936,0.437343867454683,1.16666666666667,0.117315834503416,"5","linear","cils","equal"
"91","(0.539,0.686]",0.133333333333333,0.0479314671556297,0.444755272577143,1.33333333333333,0.18209516925208,"5","linear","cils","equal"
"92","(0.686,1]",0.35,0.128254457597358,0.663773529900359,3.5,0.611829309941304,"5","linear","cils","equal"
"93","[0,0.441]",0.0454545454545454,0.0100362890288178,0.339052220693866,0.5,0.0590418439475085,"6","linear","cils","equal"
"94","(0.441,0.542]",0.1,0.0157464693415049,0.429842625475353,1,0.138088826097925,"6","linear","cils","equal"
"95","(0.542,0.758]",0.183333333333333,0.0299265744011465,0.530810199848821,1.83333333333333,0.213517443414746,"6","linear","cils","equal"
"96","(0.758,1]",0.366666666666667,0.149517160356888,0.666137502308891,3.66666666666667,0.634470461264329,"6","linear","cils","equal"
"97","[0,0.35]",0.424242424242424,0.266659793406869,0.624802437527558,4.66666666666667,0.0414464059802793,"1","log-linear","cils","equal"
"98","(0.35,0.457]",0.466666666666667,0.272805220664602,0.680393506208353,4.66666666666667,0.10313130371106,"1","log-linear","cils","equal"
"99","(0.457,0.73]",0.483333333333333,0.275494932767135,0.70224934882746,4.83333333333333,0.17374678237413,"1","log-linear","cils","equal"
"100","(0.73,1]",0.65,0.363539772694392,0.84363088798683,6.5,0.61206188464335,"1","log-linear","cils","equal"
"101","[0,0.288]",0.0606060606060606,0.0182105739698497,0.352777674929849,0.666666666666667,0.0358580779887564,"2","log-linear","cils","equal"
"102","(0.288,0.352]",0.133333333333333,0.0405174193732757,0.451538713010192,1.33333333333333,0.0859478792091605,"2","log-linear","cils","equal"
"103","(0.352,0.527]",0.0666666666666667,0.011544681620366,0.388576233060539,0.666666666666667,0.139754574989648,"2","log-linear","cils","equal"
"104","(0.527,1]",0.55,0.234788043461135,0.834853592064458,5.5,0.589664773769244,"2","log-linear","cils","equal"
"105","[0,0.377]",0.166666666666667,0.0362914058485425,0.485365348992653,1.83333333333333,0.0452840805309228,"3","log-linear","cils","equal"
"106","(0.377,0.52]",0.2,0.0455620666092352,0.53831144182815,2,0.118343500280248,"3","log-linear","cils","equal"
